(id,campo)
001,Alta Direccion Publica y Privada
011,Gerentes de Servicios Administrativos
012,Gerentes de Servicios Financieros y Comerciales
013,Gerentes de Servicios de Comunicacion
021,Gerentes de Ingenieria Ciencias y Sistemas de Informacion
031,Gerentes de Servicios a la Salud
041,Gerentes de la Administracion Publica
042,Gerentes de Educacion Servicios Social y Comunitario
051,Gerentes de Arte Cultura Esparcimiento y Deporte
061,Gerentes de Ventas Mercadeo y Publicidad
062,Gerentes de Comercio al Por Menor
063,Gerentes de Servicios de Alimentos y Alojamiento
064,Oficiales de Servicios de Proteccion y Defensa
065,Gerentes de Otros Servicios
071,Gerentes de Produccion Primaria y Extractiva
081,Gerentes de Construccion y Transporte
082,Gerentes de Operacion y Mantenimiento
091,Gerentes de Fabricacion y Servicios Publicos
111,Contadores Auditores y Profesionales en Inversion
112,Profesionales en Recursos Humanos y Organizacion de las Empresas
121,Supervisores de Empleados Administrativos
122,Asistentes Administrativos
123,Ocupaciones Administrativas de Finanzas y Seguros
131,Secretarios y Oficinistas en General
132,Digitadores y Transcriptores
133,Auxiliares de Finanzas y Seguros
134,Auxiliares de Apoyo Administrativo
135,Auxiliares de Biblioteca Publicaciones Informacion y Afines
136,Auxiliares de Distribucion de Correo y Mensajeria
137,Auxiliares de Registro Programacion y Distribucion
211,Profesionales en Ciencias Fisicas y Quimicas
212,Profesionales en Ciencias Naturales
213,Ingenieros en Construccion Mecanicos Electricos y Quimicos
214,Otros Ingenieros
215,Arquitectos Urbanistas y Agrimensores
216,Matematicos Estadisticos y Actuarios
217,Analistas Administradores y Programadores de Sistemas Informaticos
221,Ocupaciones Tecnicas en Ciencias Fisicas
222,Ocupaciones Tecnicas en Ciencias Naturales
223,Ocupaciones Tecnicas en Construccion Mecanica y Fabricacion
224,Ocupaciones Tecnicas en Electricidad Electronica y Telecomunicaciones
225,Ocupaciones Tecnicas en Diseno Topografia y Cartografia
226,Inspectores de Normas Tecnicas
227,Oficiales y Controladores de Transporte
