(idDepartamento,Departamento,idmunicipio,municipio)
05,Antioquia,05001,MEDELLIN
05,Antioquia,05002,ABEJORRAL
05,Antioquia,05004,ABRIAQUI
05,Antioquia,05021,ALEJANDRIA
05,Antioquia,05030,AMAGA
05,Antioquia,05031,AMALFI
05,Antioquia,05034,ANDES
05,Antioquia,05036,ANGELOPOLIS
05,Antioquia,05038,ANGOSTURA
05,Antioquia,05040,ANORI
05,Antioquia,05042,SANTAFE DE ANTIOQUIA
05,Antioquia,05044,ANZA
05,Antioquia,05045,APARTADO
05,Antioquia,05051,ARBOLETES
05,Antioquia,05055,ARGELIA
05,Antioquia,05059,ARMENIA
05,Antioquia,05079,BARBOSA
05,Antioquia,05086,BELMIRA
05,Antioquia,05088,BELLO
05,Antioquia,05091,BETANIA
05,Antioquia,05093,BETULIA
05,Antioquia,05101,CIUDAD BOLIVAR
05,Antioquia,05107,BRICENO
05,Antioquia,05113,BURITICA
05,Antioquia,05120,CACERES
05,Antioquia,05125,CAICEDO
05,Antioquia,05129,CALDAS
05,Antioquia,05134,CAMPAMENTO
05,Antioquia,05138,CANASGORDAS
05,Antioquia,05142,CARACOLI
05,Antioquia,05145,CARAMANTA
05,Antioquia,05147,CAREPA
05,Antioquia,05148,EL CARMEN DE VIBORAL
05,Antioquia,05150,CAROLINA
05,Antioquia,05154,CAUCASIA
05,Antioquia,05172,CHIGORODO
05,Antioquia,05190,CISNEROS
05,Antioquia,05197,COCORNA
05,Antioquia,05206,CONCEPCION
05,Antioquia,05209,CONCORDIA
05,Antioquia,05212,COPACABANA
05,Antioquia,05234,DABEIBA
05,Antioquia,05237,DON MATIAS
05,Antioquia,05240,EBEJICO
05,Antioquia,05250,EL BAGRE
05,Antioquia,05264,ENTRERRIOS
05,Antioquia,05266,ENVIGADO
05,Antioquia,05282,FREDONIA
05,Antioquia,05284,FRONTINO
05,Antioquia,05306,GIRALDO
05,Antioquia,05308,GIRARDOTA
05,Antioquia,05310,GOMEZ PLATA
05,Antioquia,05313,GRANADA
05,Antioquia,05315,GUADALUPE
05,Antioquia,05318,GUARNE
05,Antioquia,05321,GUATAPE
05,Antioquia,05347,HELICONIA
05,Antioquia,05353,HISPANIA
05,Antioquia,05360,ITAGUI
05,Antioquia,05361,ITUANGO
05,Antioquia,05364,JARDIN
05,Antioquia,05368,JERICO
05,Antioquia,05376,LA CEJA
05,Antioquia,05380,LA ESTRELLA
05,Antioquia,05390,LA PINTADA
05,Antioquia,05400,LA UNION
05,Antioquia,05411,LIBORINA
05,Antioquia,05425,MACEO
05,Antioquia,05440,MARINILLA
05,Antioquia,05467,MONTEBELLO
05,Antioquia,05475,MURINDO
05,Antioquia,05480,MUTATA
05,Antioquia,05483,NARINO
05,Antioquia,05490,NECOCLI
05,Antioquia,05495,NECHI
05,Antioquia,05501,OLAYA
05,Antioquia,05541,PENOL
05,Antioquia,05543,PEQUE
05,Antioquia,05576,PUEBLORRICO
05,Antioquia,05579,PUERTO BERRIO
05,Antioquia,05585,PUERTO NARE
05,Antioquia,05591,PUERTO TRIUNFO
