(idSector,nombre)


A,AGRICULTURA GANADERIA CAZA Y SILVICUTURA 

B,PESCA

C,EXPLOTACION DE MINAS Y CANTERAS

D,INDUSTRIAS MANUFACTURERAS

E,SUMINISTROS DE ELECTRICIDAD GAS Y AGUA

F,CONSTRUCCION 

G,COMERCIO AL POR MAYOR Y AL POR MENOR REPARACIÓN DE VEHÍCULOS AUTOMOTORES MOTOCICLETAS EFECTOS PERSONALES Y ENSERES DOMÉSTICOS 

H,HOTELES Y RESTAURANTES
I,TRANSPORTE ALMACENAMIENTO Y COMUNICACIONES

J,INTERMEDIACIÓN FINANCIERA 

K,ACTIVADES INMOBILIARIAS DE ALQUILER Y EMPRESARIALES Y DE ALQUILER 

L,ADMINISTRACION PUBLICA Y DEFENSA SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA 

M,EDUCACION 

O,OTRAS ACTIVIDADES DE SERVICIOS COMUNITARIOS SOCIALES Y PERSONALES 

P,HOGARES PRIVADOS CON SERVICIO DOMESTICO 

Q,ORGANIZACIONES Y ORGANOS EXTRATERRITORIALES 
